名称,名称(英語),設置場所,都道府県名,市区町村名,行政区名,住所,緯度,経度,AEDのタイプ,パッドのタイプ,シリアルナンバー,モデルナンバー,AEDの有効期限,画像URL
島田市役所：福祉課カウンター,"",福祉課カウンター,静岡県,島田市,"",島田市中央町1-1,34.836439,138.176044,"","","","","",""
島田市立看護専門学校：体育館,"",体育館,静岡県,島田市,"",島田市野田1065-1,34.847132,138.183893,"","","","","",""
保健福祉センター：１階受付,"",１階受付,静岡県,島田市,"",島田市中河町283-1,34.840594,138.179057,"","","","","",""
プラザおおるり：１階事務所,"",１階事務所,静岡県,島田市,"",島田市中央町5-1,34.836577,138.174602,"","","","","",""
島田市博物館：本館事務所,"",本館事務所,静岡県,島田市,"",島田市河原1丁目5-50,34.831342,138.154388,"","","","","",""
ローズアリーナ１階：１階総合受付,"",１階総合受付,静岡県,島田市,"",島田市野田1689,34.850162,138.17528,"","","","","",""
ローズアリーナ２階：２階プール受付,"",２階プール受付,静岡県,島田市,"",島田市野田1689,34.850162,138.17528,"","","","","",""
ローズアリーナ３階：３階弓道場,"",３階弓道場,静岡県,島田市,"",島田市野田1689,34.850162,138.17528,"","","","","",""
島田球場：１階ロビー,"",１階ロビー,静岡県,島田市,"",島田市横井4丁目19-1,34.824926,138.174597,"","","","","",""
島田市斎場：１階事務室,"",１階事務室,静岡県,島田市,"",島田市伊太2800-1,34.846811,138.158785,"","","","","",""
伊太和里の湯：１階フロント,"",１階フロント,静岡県,島田市,"",島田市伊太88-1,34.872528,138.155182,"","","","","",""
伊太和里の湯：森林の湯脱衣所,"",１階脱衣所,静岡県,島田市,"",島田市伊太88-1,34.872528,138.155182,"","","","","",""
伊太和里の湯：満天の湯脱衣所,"",１階脱衣所,静岡県,島田市,"",島田市伊太88-1,34.872528,138.155182,"","","","","",""
なごみの里：事務所内,"",事務所内,静岡県,島田市,"",島田市伊太66,34.872428,138.155366,"","","","","",""
いきいきサロンなかみぞ：１階フロア,"",１階フロア,静岡県,島田市,"",島田市中溝町1444-14,34.844054,138.161765,"","","","","",""
島田消防署：１階フロア,"",１階フロア,静岡県,島田市,"",島田市旗指513-1,34.84246,138.167212,"","","","","",""
おびりあ島田図書館：２階図書館カウンター内,"",２階図書館カウンター内,静岡県,島田市,"",島田市本通3丁目3-3,34.832361,138.175047,"","","","","",""
おびりあこども館：４階事務所,"",４階事務所,静岡県,島田市,"",島田市本通3丁目3-3,34.832361,138.175047,"","","","","",""
島田警察署：庁舎玄関ホール,"",庁舎玄関ホール,静岡県,島田市,"",島田市向谷元町1212,34.843696,138.159474,"","","","","",""
六合分遣所：１階受付,"",１階受付,静岡県,島田市,"",島田市道悦2丁目29-15,34.834425,138.20501,"","","","","",""
初倉分遣所：１階受付,"",１階受付,静岡県,島田市,"",島田市阪本1526-4,34.805934,138.216829,"","","","","",""
島田中央幼稚園：１階職員室,"",１階職員室,静岡県,島田市,"",島田市旗指2888-1,34.844818,138.16664,"","","","","",""
伊久美幼稚園：事務所,"",事務所,静岡県,島田市,"",島田市身成332-1,34.904409,138.111886,"","","","","",""
六合幼稚園：職員室,"",職員室,静岡県,島田市,"",島田市道悦2丁目27-11,34.835483,138.203588,"","","","","",""
みどり認定こども園：１階職員室,"",１階職員室,静岡県,島田市,"",島田市大柳南308,34.80862,138.2261,"","","","","",""
島田学園付属幼稚園：職員室,"",職員室,静岡県,島田市,"",島田市伊太2075-1,34.848173,138.153527,"","","","","",""
島田南幼稚園：事務所,"",事務所,静岡県,島田市,"",島田市横井4丁目2-15,34.829423,138.177358,"","","","","",""
島田市立第一保育園：１階職員室,"",１階職員室,静岡県,島田市,"",島田市向谷4丁目1084-1,34.841943,138.153455,"","","","","",""
島田市立第三保育園：２階職員室,"",２階職員室,静岡県,島田市,"",島田市南1丁目14-24,34.825956,138.178116,"","","","","",""
島田聖母保育園：１階事務所,"",１階事務所,静岡県,島田市,"",島田市中河町344,34.840824,138.178491,"","","","","",""
くりのみ保育園：木の実入口,"",木の実入口,静岡県,島田市,"",島田市中央町12-12,34.837972,138.173614,"","","","","",""
六合第一保育園：１階職員室,"",１階職員室,静岡県,島田市,"",島田市道悦2丁目27-14,34.83508,138.20391,"","","","","",""
こばと保育園：職員室,"",職員室,静岡県,島田市,"",島田市大津通12-2,34.833947,138.178902,"","","","","",""
初倉保育園：職員出入口下駄箱上,"",職員出入口下駄箱上,静岡県,島田市,"",島田市井口407,34.798155,138.228497,"","","","","",""
六合第二保育園：職員室,"",職員室,静岡県,島田市,"",島田市東町1210,34.833761,138.221875,"","","","","",""
月坂保育園：事務所,"",事務所,静岡県,島田市,"",島田市阪本1649-1,34.80504,138.211143,"","","","","",""
たけのこ保育園：事務所,"",事務所,静岡県,島田市,"",島田市岸1498,34.85174,138.203119,"","","","","",""
ゆたか保育園：職員室,"",職員室,静岡県,島田市,"",島田市若松町2538-1,34.836864,138.165567,"","","","","",""
大津保育園：職員室窓口,"",職員室窓口,静岡県,島田市,"",島田市落合64-1,34.855753,138.182905,"","","","","",""
こども発達支援センター：職員室カウンター上,"",職員室カウンター上,静岡県,島田市,"",島田市落合64-8,34.855669,138.182353,"","","","","",""
島田市立第一小学校：体育館入口,"",体育館入口,静岡県,島田市,"",島田市稲荷2丁目19-1,34.840096,138.152921,"","","","","",""
島田市立第二小学校：南校舎１階保健室前廊下,"",南校舎１階保健室前廊下,静岡県,島田市,"",島田市中溝町2372,34.836869,138.169458,"","","","","",""
島田市立第三小学校：体育館,"",体育館,静岡県,島田市,"",島田市南1丁目10-1,34.826673,138.178788,"","","","","",""
島田市立第四小学校：体育館出入口,"",体育館出入口,静岡県,島田市,"",島田市中河町201,34.842132,138.178696,"","","","","",""
島田市立第五小学校：体育館入口,"",体育館入口,静岡県,島田市,"",島田市旭2丁目25-1,34.830931,138.197203,"","","","","",""
六合小学校：昼間＝職員室前／休日・夜間＝体育館,"",昼間＝職員室前／休日・夜間＝体育館,静岡県,島田市,"",島田市道悦5丁目13-1,34.835636,138.210118,"","","","","",""
六合東小学校：体育館,"",体育館,静岡県,島田市,"",島田市東町1200,34.834561,138.221903,"","","","","",""
大津小学校：印刷室,"",印刷室,静岡県,島田市,"",島田市落合160-1,34.855211,138.18101,"","","","","",""
伊太小学校：１階玄関前,"",１階玄関前,静岡県,島田市,"",島田市伊太1314,34.848612,138.152144,"","","","","",""
相賀小学校：１階クラブハウス,"",１階クラブハウス,静岡県,島田市,"",島田市相賀875,34.873341,138.134856,"","","","","",""
神座小学校：保健室,"",保健室,静岡県,島田市,"",島田市神座1444,34.874204,138.108281,"","","","","",""
伊久美小学校：体育館入口,"",体育館入口,静岡県,島田市,"",島田市伊久美3690-1,34.928609,138.141272,"","","","","",""
初倉小学校：体育館正面,"",体育館正面,静岡県,島田市,"",島田市阪本1331,34.80614,138.223145,"","","","","",""
初倉南小学校：１階職員玄関,"",１階職員玄関,静岡県,島田市,"",島田市南原10,34.797399,138.224873,"","","","","",""
湯日小学校：体育館入口,"",体育館入口,静岡県,島田市,"",島田市湯日564,34.805984,138.179116,"","","","","",""
島田第一中学校：体育館,"",体育館,静岡県,島田市,"",島田稲荷3丁目18-1,34.839077,138.155691,"","","","","",""
島田第二中学校：体育館１階入口,"",体育館１階入口,静岡県,島田市,"",島田市旗指77-1,34.843968,138.174408,"","","","","",""
六合中学校：１階事務室,"",１階事務室,静岡県,島田市,"",島田市道悦2丁目25-1,34.834119,138.20328,"","","","","",""
北中学校：職員室前廊下,"",職員室前廊下,静岡県,島田市,"",島田市相賀2510,34.853608,138.139195,"","","","","",""
北中学校：運動場器具室内,"",運動場器具室内,静岡県,島田市,"",島田市相賀2510,34.853608,138.139195,"","","","","",""
初倉中学校：１階保健室,"",１階保健室,静岡県,島田市,"",島田市大柳南132,34.804562,138.227842,"","","","","",""
付属島田中学校：体育館,"",体育館,静岡県,島田市,"",島田市中河町169,34.843518,138.176602,"","","","","",""
付属島田中学校：１階中央廊下,"",校舎１階中央廊下,静岡県,島田市,"",島田市中河町169,34.843518,138.176602,"","","","","",""
